id,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,supergenre
272,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83,canadian pop
275,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,81,pop
276,Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81,canadian pop
281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,2,7,78,canadian pop
293,Don't,Ed Sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74,pop
302,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,208,13,6,72,canadian pop
315,I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18,8,200,5,10,68,canadian pop
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66,canadian pop
331,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63,canadian pop
349,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16,66,211,6,3,52,dance pop
359,Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20,54,202,8,6,39,dance pop
379,Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78,canadian pop
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78,dance pop
397,Company,Justin Bieber,canadian pop,2016,95,80,59,-5,8,43,208,13,6,72,canadian pop
411,Body Say,Demi Lovato,dance pop,2016,87,74,63,-5,28,26,194,0,4,65,dance pop
412,Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47,-6,10,27,216,60,4,65,canadian pop
416,Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,56,-6,5,25,251,1,5,63,canadian pop
434,Higher,Carly Rae Jepsen,canadian pop,2016,114,87,65,-5,37,44,234,1,6,46,canadian pop
438,Little Lies,Hilary Duff,dance pop,2016,124,76,57,-6,4,40,204,0,6,36,dance pop
440,BURNITUP!,Janet Jackson,dance pop,2016,123,71,83,-7,31,83,250,5,18,31,dance pop
447,Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,84,canadian pop
451,Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,81,canadian pop
461,Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,77,dance pop
467,Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,57,184,10,4,75,dance pop
511,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85,pop
513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84,canadian pop
534,My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76,dance pop
570,...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,84,58,-5,10,50,190,13,22,52,pop
571,Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45,pop
572,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9,76,182,5,8,44,dance pop
